,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Qaanaaq,0,GL,1550869022,88,77.48,-69.36,-21.55,6.76
1,Luderitz,0,NA,1550869027,78,-26.65,15.16,64.59,14.25
2,Jamestown,0,AU,1550869029,72,-33.21,138.6,56.49,7.76
3,Abu Samrah,44,SY,1550869040,94,35.3,37.18,44.61,4.52
4,Lata,8,IN,1550869041,76,30.78,78.62,28.95,2.62
5,Emba,20,CY,1550869042,81,34.81,32.42,51.8,8.05
6,Pevek,76,RU,1550869044,86,69.7,170.27,-14.71,6.2
7,Chokurdakh,76,RU,1550869045,37,70.62,147.9,-24.88,8.21
8,Busselton,80,AU,1550869046,100,-33.64,115.35,67.47,7.65
9,Cooma,90,AU,1550869048,100,-36.24,149.13,48.2,4.7
10,Thompson,20,CA,1550869049,55,55.74,-97.86,10.4,9.17
11,Butaritari,68,KI,1550869053,100,3.07,172.79,83.17,13.47
12,Erzin,40,TR,1550869054,71,36.95,36.2,53.6,3.36
13,Port Alfred,8,ZA,1550869055,80,-33.59,26.89,72.91,16.26
14,Ornskoldsvik,76,SE,1550869056,100,63.29,18.72,28.4,3.36
15,Rio Grande,0,BR,1550869057,74,-32.03,-52.1,86.0,6.93
16,New Norfolk,75,AU,1550869059,66,-42.78,147.06,55.4,14.99
17,Kapaa,1,US,1550869060,65,22.08,-159.32,77.0,6.93
18,Hermanus,12,ZA,1550869062,90,-34.42,19.24,63.42,2.62
19,Georgetown,40,GY,1550869063,69,6.8,-58.16,84.2,13.87
20,Tuktoyaktuk,5,CA,1550869064,74,69.44,-133.03,-22.01,2.24
21,Kahului,40,US,1550869066,69,20.89,-156.47,78.8,10.29
22,Nikolskoye,0,RU,1550869067,72,59.7,30.79,14.0,4.47
23,Sorland,75,NO,1550869068,87,67.67,12.69,46.4,14.99
24,Beloha,32,MG,1550869072,85,-25.17,45.06,72.91,8.66
25,Faanui,76,PF,1550869073,100,-16.48,-151.75,82.99,20.29
26,Mataura,92,NZ,1550869074,100,-46.19,168.86,48.97,4.63
